name,grade,category,lat,lon
청란여자고등학교,고등학교,대전광역시동부교육지원청,36.31073792,127.4295277
외삼초등학교,초등학교,대전광역시서부교육지원청,36.39289818,127.3105925
대전도안고등학교,고등학교,대전광역시서부교육지원청,36.33692213,127.3373195
대전관저고등학교,고등학교,대전광역시서부교육지원청,36.31080711,127.3377631
장동초등학교,초등학교,대전광역시동부교육지원청,36.41520107,127.4357246
한밭고등학교,고등학교,대전광역시서부교육지원청,36.34649685,127.3643986
대전버드내초등학교,초등학교,대전광역시동부교육지원청,36.31926246,127.3914705
대전동화중학교,중학교,대전광역시서부교육지원청,36.42280063,127.3894687
대전동산고등학교,고등학교,대전광역시동부교육지원청,36.31611842,127.4044918
대전도안중학교,중학교,대전광역시서부교육지원청,36.31797152,127.3457942
동명중학교,중학교,대전광역시동부교육지원청,36.30838794,127.4387263
대전가장초등학교,초등학교,대전광역시서부교육지원청,36.3306395,127.3878689
산흥초등학교,초등학교,대전광역시동부교육지원청,36.22919249,127.448742
대전생활과학고등학교,고등학교,대전광역시동부교육지원청,36.3498313,127.4230626
서대전초등학교,초등학교,대전광역시동부교육지원청,36.32680851,127.4111889
대전문화초등학교,초등학교,대전광역시동부교육지원청,36.31171058,127.3988012
대전봉산초등학교,초등학교,대전광역시서부교육지원청,36.34527951,127.3652655
대전석봉초등학교,초등학교,대전광역시동부교육지원청,36.44700334,127.4344058
회덕초등학교,초등학교,대전광역시동부교육지원청,36.37465101,127.4218295
대전월평초등학교,초등학교,대전광역시서부교육지원청,36.35594263,127.3577698
대전유평초등학교,초등학교,대전광역시동부교육지원청,36.3301867,127.3972544
대전중앙중학교,중학교,대전광역시동부교육지원청,36.33842277,127.4147891
대전반석초등학교,초등학교,대전광역시서부교육지원청,36.39027827,127.3127636
대전동산초등학교,초등학교,대전광역시동부교육지원청,36.35034565,127.4210828
대전느리울초등학교,초등학교,대전광역시서부교육지원청,36.29888649,127.3442521
대전원신흥초등학교,초등학교,대전광역시서부교육지원청,36.34100823,127.342524
호수돈여자고등학교,고등학교,대전광역시동부교육지원청,36.32671701,127.4144851
대전문정중학교,중학교,대전광역시서부교육지원청,36.35547776,127.4015487
대전용운초등학교,초등학교,대전광역시동부교육지원청,36.32630154,127.4637479
충남여자고등학교,고등학교,대전광역시동부교육지원청,36.32974636,127.4112877
진잠중학교,중학교,대전광역시서부교육지원청,36.29688109,127.3176177
대전대동초등학교,초등학교,대전광역시동부교육지원청,36.32548999,127.4472997
대전체육고등학교,고등학교,대전광역시서부교육지원청,36.33651309,127.3406536
산서초등학교,초등학교,대전광역시동부교육지원청,36.26690214,127.4093033
대전용산초등학교,초등학교,대전광역시서부교육지원청,36.42015397,127.3950755
대전장대초등학교,초등학교,대전광역시서부교육지원청,36.36192355,127.3396123
오정중학교,중학교,대전광역시동부교육지원청,36.35152036,127.4080876
기성초등학교길헌분교장,초등학교,대전광역시서부교육지원청,36.24171224,127.3163418
대전갑천초등학교,초등학교,대전광역시서부교육지원청,36.36083455,127.3676845
대전새여울초등학교,초등학교,대전광역시동부교육지원청,36.45171872,127.4224336
대전죽동초등학교,초등학교,대전광역시서부교육지원청,36.37040016,127.3356321
충남기계공업고등학교,고등학교,대전광역시동부교육지원청,36.31199421,127.4035731
대전어은초등학교,초등학교,대전광역시서부교육지원청,36.36480834,127.3542775
대전동화초등학교,초등학교,대전광역시서부교육지원청,36.42280063,127.3894687
대전전민초등학교,초등학교,대전광역시서부교육지원청,36.39876184,127.4071475
대전문정초등학교,초등학교,대전광역시서부교육지원청,36.35037788,127.3962158
대전문지중학교,중학교,대전광역시서부교육지원청,36.39698677,127.3990962
대전봉산중학교,중학교,대전광역시서부교육지원청,36.3311735,127.3728435
대전문화여자중학교,중학교,대전광역시동부교육지원청,36.31305405,127.4099915
대전두리중학교,중학교,대전광역시서부교육지원청,36.4292747,127.3823802
대전성룡초등학교,초등학교,대전광역시서부교육지원청,36.36182641,127.3735786
대전체육중학교,중학교,대전광역시서부교육지원청,36.33651309,127.3406536
서일고등학교,고등학교,대전광역시서부교육지원청,36.29332636,127.3236362
동대전중학교,중학교,대전광역시동부교육지원청,36.34517648,127.4559184
대전현암초등학교,초등학교,대전광역시동부교육지원청,36.34214077,127.420304
대전여자상업고등학교,고등학교,대전광역시동부교육지원청,36.3338799,127.4216785
대전반석고등학교,고등학교,대전광역시서부교육지원청,36.38691878,127.3135242
대전중리초등학교,초등학교,대전광역시동부교육지원청,36.36771955,127.4271703
대전새미래초등학교,초등학교,대전광역시서부교육지원청,36.37929645,127.3031688
서일여자고등학교,고등학교,대전광역시서부교육지원청,36.29429961,127.3235457
